gid,date,div_number,motion_text,ayes,noes,colnum,time
uk.org.publicwhip/debate/2020-09-29d.274.2,2020-09-29,116,"This amendment and amendments 2, 3, 4, 5, 6, 7, 8, 9 and 10 widen certain references to competence in Part 4 so that executive competence (as well as legislative competence) in each jurisdiction is included.",256,354,274,18:00:00
uk.org.publicwhip/debate/2020-09-29d.298.0,2020-09-29,117,,256,348,298,20:05:00
uk.org.publicwhip/debate/2020-09-29d.303.0,2020-09-29,118,,340,256,303,20:05:00
uk.org.publicwhip/debate/2020-09-30b.449.2,2020-09-30,124,,205,333,449,18:40:00
uk.org.publicwhip/debate/2020-09-30c.441.1,2020-09-30,122,,208,329,441,18:40:00
uk.org.publicwhip/debate/2020-09-30c.445.2,2020-09-30,123,,207,329,445,18:40:00
uk.org.publicwhip/debate/2020-09-30c.449.2,2020-09-30,124,,205,333,449,18:40:00
uk.org.publicwhip/debate/2020-09-30d.412.0,2020-09-30,121,,330,24,412,16:48:00
uk.org.publicwhip/debate/2020-09-30d.441.1,2020-09-30,122,,208,329,441,18:40:00
uk.org.publicwhip/debate/2020-09-30d.445.2,2020-09-30,123,"That an humble Address be presented to Her Majesty, praying that the Town and Country Planning (General Permitted Development) (England) (Amendment) (No. 2) Order 2020 (S.I., 2020, No. 755), dated ",207,329,445,18:40:00
uk.org.publicwhip/debate/2020-09-30d.449.2,2020-09-30,124,"That an humble Address be presented to Her Majesty, praying that the Town and Country Planning (General Permitted Development) (England) (Amendment) (No. 3) Order 2020 (S.I., 2020, No. 756), dated ",205,333,449,18:40:00
uk.org.publicwhip/debate/2020-09-30d.468.3,2020-09-30,119,"
IMMIGRATION
",348,250,468,19:58:00
uk.org.publicwhip/debate/2020-09-30d.473.2,2020-09-30,120,"
EMPLOYMENT
",347,249,473,19:58:00
uk.org.publicwhip/debate/2020-10-05a.709.0,2020-10-05,125,,182,20,709,21:30:00
uk.org.publicwhip/debate/2020-10-05b.709.0,2020-10-05,125,,182,20,709,21:30:00
uk.org.publicwhip/debate/2020-10-06a.871.0,2020-10-06,127,,287,17,871,18:14:00
uk.org.publicwhip/debate/2020-10-06b.835.0,2020-10-06,126,This new clause contains a power to implement international agreements relating to private international law.,324,175,835,16:15:00
uk.org.publicwhip/debate/2020-10-06b.871.0,2020-10-06,127,,287,17,871,18:14:00
uk.org.publicwhip/debate/2020-10-12a.119.2,2020-10-12,129,,332,279,119,21:00:00
uk.org.publicwhip/debate/2020-10-12b.119.2,2020-10-12,129,,332,279,119,21:00:00
uk.org.publicwhip/debate/2020-10-12d.115.0,2020-10-12,128,"
After Clause 34 - Application of pesticides: limitations on use to protect human health
",347,212,115,21:00:00
uk.org.publicwhip/debate/2020-10-12d.119.2,2020-10-12,129,"
After Clause 42 - Requirement for agricultural and food imports to meet domestic standards
",332,279,119,21:00:00
uk.org.publicwhip/debate/2020-10-12d.123.2,2020-10-12,130,"
After Clause 42 - Contribution of agriculture and associated land use to climate change targets
",344,206,123,21:00:00
uk.org.publicwhip/debate/2020-10-13b.188.2,2020-10-13,131,"That, at this day’s sitting, notwithstanding the provisions of ",317,181,188,13:53:00
uk.org.publicwhip/debate/2020-10-13b.254.4,2020-10-13,132,"That the Health Protection (Coronavirus, Restrictions) (No. 2) (England) (Amendment) (No. 5) Regulations 2020 (S.I., 2020, No. 1029), dated ",299,82,254,18:00:00
uk.org.publicwhip/debate/2020-10-13b.313.2,2020-10-13,133,This new clause is intended to ensure that the Authority reports how income received from the levies it imposes has been applied in respect of each part of the United Kingdom.,65,335,313,21:00:00
uk.org.publicwhip/debate/2020-10-13b.316.2,2020-10-13,134,This amendment would amend the “national benefit objective” to include a commitment to increase seafood landings into the United Kingdom and create a specific target for English ports.,196,335,316,21:00:00
uk.org.publicwhip/debate/2020-10-13b.327.2,2020-10-13,135,This amendment would include in the sea fishing licence conditions a prohibition on using a fishing boat longer than 100 metres in protected areas in English waters.,197,331,327,21:00:00
uk.org.publicwhip/debate/2020-10-14a.482.1,2020-10-14,137,,258,338,482,18:51:00
uk.org.publicwhip/debate/2020-10-14c.430.2,2020-10-14,136,,261,338,430,15:47:00
uk.org.publicwhip/debate/2020-10-14c.482.1,2020-10-14,137,,258,338,482,18:51:00
uk.org.publicwhip/debate/2020-10-15b.615.0,2020-10-15,138,,256,317,615,16:00:00
uk.org.publicwhip/debate/2020-10-15b.619.0,2020-10-15,139,,256,316,619,16:00:00
uk.org.publicwhip/debate/2020-10-15b.624.2,2020-10-15,140,"
Clause 2
",65,311,624,16:00:00
uk.org.publicwhip/debate/2020-10-15b.627.2,2020-10-15,141,"This new clause lays out that a criminal conduct authorisation could not be applied to a trade union, thereby putting a limit on where such authorisations can apply.",255,314,627,16:00:00
uk.org.publicwhip/debate/2020-10-15b.631.0,2020-10-15,142,,313,98,631,16:00:00
uk.org.publicwhip/debate/2020-10-19a.853.2,2020-10-19,144,,330,262,853,21:15:00
uk.org.publicwhip/debate/2020-10-19d.848.1,2020-10-19,143,,335,254,848,21:00:00
uk.org.publicwhip/debate/2020-10-19d.853.2,2020-10-19,144,"
After Clause 4 - Children in Care and Children Entitled to Care Leaving Support: Entitlement to Remain
",330,262,853,21:15:00
uk.org.publicwhip/debate/2020-10-19d.857.2,2020-10-19,145,"
After Clause 4 - Leave to Enter: Family Unity and Claims for Asylum
",327,264,857,21:15:00
uk.org.publicwhip/debate/2020-10-19d.861.2,2020-10-19,146,"
After Clause 4 - EU Settlement Scheme: physical documented proof
",331,260,861,21:15:00
uk.org.publicwhip/debate/2020-10-19d.866.2,2020-10-19,147,"
After Clause 4 - Time limit on immigration detention for EEA and Swiss nationals
",328,264,866,21:15:00
uk.org.publicwhip/debate/2020-10-21a.1124.0,2020-10-21,153,,261,340,1124,16:05:00
uk.org.publicwhip/debate/2020-10-21a.1172.0,2020-10-21,154,,261,322,1172,18:50:00
uk.org.publicwhip/debate/2020-10-21e.1124.0,2020-10-21,153,,261,340,1124,16:05:00
uk.org.publicwhip/debate/2020-10-21e.1172.0,2020-10-21,154,,261,322,1172,18:50:00
uk.org.publicwhip/debate/2020-10-21e.1193.3,2020-10-21,148,"
Exiting the European Union (Immigration)
",343,237,1193,19:42:00
uk.org.publicwhip/debate/2020-10-21e.1197.2,2020-10-21,149,"
Insolvency
",353,0,1197,19:42:00
uk.org.publicwhip/debate/2020-10-21e.1200.2,2020-10-21,150,"
Public Health
",333,1,1200,19:42:00
uk.org.publicwhip/debate/2020-10-21e.1202.2,2020-10-21,151,"
Public Health
",332,4,1202,19:42:00
uk.org.publicwhip/debate/2020-10-21e.1205.2,2020-10-21,152,"
Community Infrastructure Levy
",324,188,1205,19:42:00
uk.org.publicwhip/debate/2020-10-23b.1347.2,2020-10-23,155,,0,48,1347,
uk.org.publicwhip/debate/2020-11-03a.278.1,2020-11-03,159,,345,260,278,19:00:00
uk.org.publicwhip/debate/2020-11-03c.261.2,2020-11-03,156,,266,336,261,18:00:00
uk.org.publicwhip/debate/2020-11-03c.265.2,2020-11-03,157,,262,335,265,18:00:00
uk.org.publicwhip/debate/2020-11-03c.270.2,2020-11-03,158,,269,334,270,18:00:00
uk.org.publicwhip/debate/2020-11-03c.278.1,2020-11-03,159,,345,260,278,19:00:00
uk.org.publicwhip/debate/2020-11-03d.261.2,2020-11-03,156,"Nothing in this Part applies to any action brought against the Crown by a person who is a member or former member of the regular or reserve forces, or of a British overseas territory force to whom section 369(2) of the Armed Forces Act 2006 (persons subject to service law) applies.—(John Healey.)",266,336,261,18:00:00
uk.org.publicwhip/debate/2020-11-03d.265.2,2020-11-03,157,"This amendment would exclude the prosecution of serious international crimes (such as torture, genocide, crimes against humanity, and certain war crimes) from the limitations otherwise imposed by the Bill.",262,335,265,18:00:00
uk.org.publicwhip/debate/2020-11-03d.270.2,2020-11-03,158,This amendment is one of a series designed to ensure that the Bill’s “triple lock” provisions to block prosecutions would not apply to torture and related offences under UK law. This suite of amendments would ensure that the existing offences of torture – contained in the 1988 Criminal Justice Act and in other parts of UK law incorporating longstanding laws of war – would not be included within the Bill’s “triple lock” against prosecutions of UK soldiers.,269,334,270,18:00:00
uk.org.publicwhip/debate/2020-11-03d.278.1,2020-11-03,159,,345,260,278,19:00:00
uk.org.publicwhip/debate/2020-11-04a.380.1,2020-11-04,160,,516,38,380,15:50:00
uk.org.publicwhip/debate/2020-11-04a.424.0,2020-11-04,162,,333,264,424,18:25:00
uk.org.publicwhip/debate/2020-11-04b.380.1,2020-11-04,160,,516,38,380,15:50:00
uk.org.publicwhip/debate/2020-11-04d.402.1,2020-11-04,161,,331,272,402,17:15:00
uk.org.publicwhip/debate/2020-11-04d.424.0,2020-11-04,162,,333,264,424,18:25:00
uk.org.publicwhip/debate/2020-11-04e.380.1,2020-11-04,160,,516,38,380,15:50:00
uk.org.publicwhip/debate/2020-11-04e.402.1,2020-11-04,161,,331,272,402,17:15:00
uk.org.publicwhip/debate/2020-11-04e.424.0,2020-11-04,162,,333,264,424,18:25:00
uk.org.publicwhip/debate/2020-11-10a.813.0,2020-11-10,163,,348,268,813,17:30:00
uk.org.publicwhip/debate/2020-11-10a.818.2,2020-11-10,164,,352,263,818,17:30:00
uk.org.publicwhip/debate/2020-11-10a.822.2,2020-11-10,165,,345,266,822,17:30:00
uk.org.publicwhip/debate/2020-11-10a.827.2,2020-11-10,166,,346,266,827,18:11:00
uk.org.publicwhip/debate/2020-11-10a.859.2,2020-11-10,167,,261,334,859,19:51:00
uk.org.publicwhip/debate/2020-11-10c.813.0,2020-11-10,163,,348,268,813,17:30:00
uk.org.publicwhip/debate/2020-11-10c.818.2,2020-11-10,164,,352,263,818,17:30:00
uk.org.publicwhip/debate/2020-11-10c.822.2,2020-11-10,165,,345,266,822,17:30:00
uk.org.publicwhip/debate/2020-11-10c.827.2,2020-11-10,166,,346,266,827,18:11:00
uk.org.publicwhip/debate/2020-11-10d.813.0,2020-11-10,163,,348,268,813,17:30:00
uk.org.publicwhip/debate/2020-11-10d.818.2,2020-11-10,164,"
After Clause 4
",352,263,818,17:30:00
uk.org.publicwhip/debate/2020-11-10d.822.2,2020-11-10,165,"
After Clause 5
",345,266,822,17:30:00
uk.org.publicwhip/debate/2020-11-10d.827.2,2020-11-10,166,"
After Clause 6
",346,266,827,18:11:00
uk.org.publicwhip/debate/2020-11-10d.859.2,2020-11-10,167,,261,334,859,19:51:00
uk.org.publicwhip/debate/2020-11-16b.115.0,2020-11-16,168,,262,351,115,20:45:00
uk.org.publicwhip/debate/2020-11-16b.120.0,2020-11-16,169,,262,349,120,21:03:00
uk.org.publicwhip/debate/2020-11-16b.125.2,2020-11-16,170,,257,356,125,21:03:00
uk.org.publicwhip/debate/2020-11-16b.130.0,2020-11-16,171,,256,356,130,21:03:00
uk.org.publicwhip/debate/2020-11-16c.115.0,2020-11-16,168,,262,351,115,20:45:00
uk.org.publicwhip/debate/2020-11-16c.120.0,2020-11-16,169,This new clause would enable pension scheme trustees to exercise discretion not to pursue employer debt following an employer’s exit from a pension scheme where such debt is below a de minimis threshold. This aims to support unincorporated employers who are now retired for business and for whom the current regulation allows no easements.,262,349,120,21:03:00
uk.org.publicwhip/debate/2020-11-16c.125.2,2020-11-16,170,"This amendment seeks to ensure that open and active schemes which are receiving regular, significant cash contributions and closed schemes are treated differently, in accordance with their differing liquidity profile.",257,356,125,21:03:00
uk.org.publicwhip/debate/2020-11-16c.130.0,2020-11-16,171,"This amendment enables regulations that would mandate occupational pension schemes to develop a strategy for ensuring that their investments and stewardship activities are aligning with the Paris agreement goals, and include an objective of achieving net-zero greenhouse gas emissions by 2050 or sooner.",256,356,130,21:03:00
uk.org.publicwhip/debate/2020-11-17a.281.11,2020-11-17,172,"
Exiting the European Union (Environmental Protection)
",361,245,281,18:23:00
uk.org.publicwhip/debate/2020-11-25a.941.3,2020-11-25,173,,354,261,941,19:27:00
uk.org.publicwhip/debate/2020-11-25c.941.3,2020-11-25,173,"
Exiting the European Union (Constitutional Law)
",354,261,941,19:27:00
uk.org.publicwhip/debate/2020-12-01c.264.0,2020-12-01,174,,291,78,264,18:45:00
uk.org.publicwhip/debate/2020-12-02a.396.2,2020-12-02,175,"That the draft Veterinary Medicines and Residues (Amendment) (EU Exit) Regulations 2020, which were laid before this House on ",362,202,396,17:31:00
uk.org.publicwhip/debate/2020-12-07a.662.2,2020-12-07,178,,357,268,662,21:06:00
uk.org.publicwhip/debate/2020-12-07c.653.0,2020-12-07,176,,359,265,653,20:45:00
uk.org.publicwhip/debate/2020-12-07c.657.2,2020-12-07,177,"
Clause 10 - Further exclusions from market access principles
",360,265,657,21:06:00
uk.org.publicwhip/debate/2020-12-07c.662.2,2020-12-07,178,"
Clause 47 - Further provision related to sections 44 and 45 etc
",357,268,662,21:06:00
uk.org.publicwhip/debate/2020-12-07c.667.2,2020-12-07,179,"
Clause 48 - Power to provide financial assistance for economic development etc
",359,55,667,21:06:00
uk.org.publicwhip/debate/2020-12-08a.801.0,2020-12-08,181,,360,16,801,17:19:00
uk.org.publicwhip/debate/2020-12-08b.794.1,2020-12-08,180,,264,360,794,17:19:00
uk.org.publicwhip/debate/2020-12-08b.801.0,2020-12-08,181,"
Financial Assistance to Industry
",360,16,801,17:19:00
uk.org.publicwhip/debate/2020-12-09a.942.2,2020-12-09,183,,355,258,942,17:30:00
uk.org.publicwhip/debate/2020-12-09b.936.2,2020-12-09,182,"This amendment is connected with NC1, which would make all substantive regulations under the Bill subject to the affirmative procedure.",257,350,936,17:30:00
uk.org.publicwhip/debate/2020-12-09b.942.2,2020-12-09,183,"
Exiting the European Union (Immigration and Asylum)
",355,258,942,17:30:00
uk.org.publicwhip/debate/2020-12-10b.1055.0,2020-12-10,184,,356,259,1055,14:30:00
uk.org.publicwhip/debate/2020-12-10b.1059.0,2020-12-10,185,"That this House agrees with the Lords in their amendments 8B, 8C, 8D, 8F, 8G, 8H, 8J and 8K, but disagrees with the Lords in their amendment 8L, insists on its disagreement with the Lords in their amendments 13 and 56, and proposes amendment (a) to the Bill in lieu of Lords amendments 8L, 13 and 56.—(David Duguid.)",357,259,1059,14:44:00
uk.org.publicwhip/debate/2020-12-10b.1064.0,2020-12-10,186,"That this House does not insist on its disagreement with the Lords in their Amendment No. 45, and proposes amendment (a) instead of the words left out by the Lords Amendment.—(David Duguid.)",358,260,1064,14:44:00
uk.org.publicwhip/debate/2020-12-15a.185.5,2020-12-15,187,,362,262,185,15:00:00
uk.org.publicwhip/debate/2020-12-15a.217.3,2020-12-15,188,,263,364,217,16:45:00
uk.org.publicwhip/debate/2020-12-30a.711.7,2020-12-30,192,,335,212,711,21:42:00
uk.org.publicwhip/debate/2020-12-30b.509.1,2020-12-30,189,,60,362,509,09:41:00
uk.org.publicwhip/debate/2020-12-30b.588.0,2020-12-30,190,,521,73,588,14:30:00
uk.org.publicwhip/debate/2020-12-30b.594.8,2020-12-30,191,,521,73,594,14:30:00
uk.org.publicwhip/debate/2020-12-30b.711.7,2020-12-30,192,"That this House, at its rising this day, do adjourn until ",335,212,711,21:42:00
uk.org.publicwhip/debate/2021-01-06c.856.0,2021-01-06,193,,524,16,856,18:51:00
uk.org.publicwhip/debate/2021-01-13b.400.2,2021-01-13,194,This new clause would bring the non-interest-bearing elements of buy-now-pay-later lending and similar services under the regulatory ambit of the FCA.,265,355,400,18:00:00
uk.org.publicwhip/debate/2021-01-13b.405.2,2021-01-13,195,"(b) the duties of authorised persons to manage conflicts of interest fairly, both between themselves and their clients, and between clients;",267,355,405,18:00:00
uk.org.publicwhip/debate/2021-01-13b.413.0,2021-01-13,196,This amendment is consequential on Amendment 25.,263,359,413,18:00:00
uk.org.publicwhip/debate/2021-01-18a.725.1,2021-01-18,198,,272,0,725,21:51:00
uk.org.publicwhip/debate/2021-01-18e.681.0,2021-01-18,197,,278,0,681,19:04:00
uk.org.publicwhip/debate/2021-01-18e.725.1,2021-01-18,198,,272,0,725,21:51:00
uk.org.publicwhip/debate/2021-01-19b.858.0,2021-01-19,199,,353,277,858,17:45:00
uk.org.publicwhip/debate/2021-01-19b.863.0,2021-01-19,200,"
After Clause 6 - Trade And Agriculture Commission: Advisory Functions
",365,265,863,18:04:00
uk.org.publicwhip/debate/2021-01-19b.867.2,2021-01-19,201,"
After Clause 2 - Free Trade Agreements: Determination on Compliance with International Obligations and State Actions
",364,267,867,18:04:00
uk.org.publicwhip/debate/2021-01-19b.872.2,2021-01-19,202,"
After Clause 2 - Agreements with states accused of committing genocide
",319,308,872,18:04:00
uk.org.publicwhip/debate/2021-01-19b.877.2,2021-01-19,203,"
After Clause 2 - International trade agreements: health, care or publicly funded data processing services and IT systems in connection with the provision of health and care
",357,266,877,18:37:00
uk.org.publicwhip/debate/2021-01-19b.882.2,2021-01-19,204,"
After Clause 2 - Ratification of International Trade Agreements and Treaties
",364,266,882,18:47:00
uk.org.publicwhip/debate/2021-01-19b.886.2,2021-01-19,205,"
After Clause 2 - Standards affected by international trade agreements
",353,270,886,18:47:00
uk.org.publicwhip/debate/2021-01-19b.891.2,2021-01-19,206,"
After Clause 2 - Protection of Children Online
",355,267,891,18:47:00
uk.org.publicwhip/debate/2021-01-19b.896.2,2021-01-19,207,"
After Clause 2 - Northern Ireland: Non-Discrimination in Goods and Services
",357,274,896,18:47:00
uk.org.publicwhip/debate/2021-01-20a.1051.2,2021-01-20,208,,269,351,1051,17:00:00
uk.org.publicwhip/debate/2021-01-20a.1061.2,2021-01-20,210,,265,355,1061,17:00:00
uk.org.publicwhip/debate/2021-01-20b.1036.2,2021-01-20,208,,269,351,1036,17:00:00
uk.org.publicwhip/debate/2021-01-20b.1041.2,2021-01-20,209,This new clause would require the Secretary of State to set up a Small to Medium Enterprise (SME) engagement unit to assist and support SMEs through the national security screening process.,263,355,1041,17:00:00
uk.org.publicwhip/debate/2021-01-20b.1046.2,2021-01-20,210,This new clause would require the Government to publish an ‘Annual Security Report’ to the Intelligence and Security Committee of Parliament.,265,355,1046,17:00:00
uk.org.publicwhip/debate/2021-01-25d.79.1,2021-01-25,211,,210,0,79,18:49:00
uk.org.publicwhip/debate/2021-01-25d.128.1,2021-01-25,212,,263,0,128,21:50:00
uk.org.publicwhip/debate/2021-01-26b.264.0,2021-01-26,213,,266,366,264,17:30:00
uk.org.publicwhip/debate/2021-01-26b.269.2,2021-01-26,214,This new clause would place a duty on the Secretary of State to set and meet a target to begin to reverse the loss of biodiversity in England no later than 2030. This timetable would align with the new Convention on Biological Diversity goals that are due to be agreed in 2021.,217,360,269,17:53:00
uk.org.publicwhip/debate/2021-01-26b.274.0,2021-01-26,215,"This amendment is intended to set parameters on the face of the Bill to ensure that the PM2.5 target will be at least as strict as the 2005 WHO guidelines, with an attainment deadline of 2030 at the latest.",227,354,274,17:53:00
uk.org.publicwhip/debate/2021-01-26b.279.0,2021-01-26,216,"This amendment places requirements on Ministers to allow parliamentary scrutiny of exemptions granted to allow plant protection products banned under retained EU law (such as neonicotinoid pesticides), where they are likely to impact bees and other species covered by an environmental improvement plan.",221,366,279,17:53:00
uk.org.publicwhip/debate/2021-01-26b.328.2,2021-01-26,217,"This amendment would set a minimum of protections under REACH and remove the possibility that a Secretary of State might lower standards than are in place currently, whilst reserving the right for them to set higher standards should they choose.",227,357,328,20:30:00
uk.org.publicwhip/debate/2021-01-27a.460.0,2021-01-27,219,,367,265,460,18:15:00
uk.org.publicwhip/debate/2021-01-27a.465.0,2021-01-27,220,,363,267,465,18:15:00
uk.org.publicwhip/debate/2021-01-27a.469.0,2021-01-27,221,,367,265,469,18:15:00
uk.org.publicwhip/debate/2021-01-27a.474.2,2021-01-27,222,"
After Clause 2 - Notification to a Judicial Commissioner
",366,265,474,19:01:00
uk.org.publicwhip/debate/2021-01-27a.479.2,2021-01-27,223,"
Clause 1 - Authorisation of Criminal Conduct
",361,267,479,19:01:00
uk.org.publicwhip/debate/2021-01-27a.524.3,2021-01-27,218,"
Local Government
",553,2,524,20:40:00
uk.org.publicwhip/debate/2021-02-01b.749.1,2021-02-01,224,,263,0,749,19:23:00
uk.org.publicwhip/debate/2021-02-01b.788.2,2021-02-01,225,,262,0,788,21:52:00
uk.org.publicwhip/debate/2021-02-03b.1028.1,2021-02-03,226,,74,353,1028,17:17:00
uk.org.publicwhip/debate/2021-02-09c.233.1,2021-02-09,227,,351,276,233,17:34:00
uk.org.publicwhip/debate/2021-02-09c.238.0,2021-02-09,228,,318,303,238,17:34:00
uk.org.publicwhip/debate/2021-02-09c.243.0,2021-02-09,229,,363,267,243,17:34:00
uk.org.publicwhip/debate/2021-02-10c.440.3,2021-02-10,230,"
Public Health
",526,24,440,19:38:00
uk.org.publicwhip/debate/2021-02-23b.819.0,2021-02-23,231,"“the only platform going forward”,",253,0,819,15:48:00
uk.org.publicwhip/debate/2021-02-23b.872.1,2021-02-23,232,,272,0,872,18:51:00
uk.org.publicwhip/debate/2021-02-24a.999.0,2021-02-24,233,"
After Clause 2 - Prohibition on passing remediation costs on to leaseholders and tenants
",345,226,999,17:36:00
uk.org.publicwhip/debate/2021-02-24a.1003.2,2021-02-24,234,"
After Clause 2 - Prohibition on passing remediation costs on to leaseholders and tenants
",340,225,1003,17:36:00
uk.org.publicwhip/debate/2021-02-24a.1039.0,2021-02-24,235,,365,264,1039,19:45:00
uk.org.publicwhip/debate/2021-03-09a.765.2,2021-03-09,236,,360,274,765,18:51:00
uk.org.publicwhip/debate/2021-03-09c.765.2,2021-03-09,236,,360,274,765,18:51:00
uk.org.publicwhip/debate/2021-03-11b.1055.0,2021-03-11,237,,267,360,1055,13:30:00
uk.org.publicwhip/debate/2021-03-16a.267.1,2021-03-16,238,,225,359,267,18:39:00
uk.org.publicwhip/debate/2021-03-16a.271.0,2021-03-16,239,,359,263,271,18:39:00
uk.org.publicwhip/debate/2021-03-16b.267.1,2021-03-16,238,,225,359,267,18:39:00
uk.org.publicwhip/debate/2021-03-16b.271.0,2021-03-16,239,,359,263,271,18:39:00
uk.org.publicwhip/debate/2021-03-17a.384.0,2021-03-17,240,,53,362,384,15:55:00
uk.org.publicwhip/debate/2021-03-17a.387.1,2021-03-17,241,,369,55,387,15:55:00
uk.org.publicwhip/debate/2021-03-17b.384.0,2021-03-17,240,,53,362,384,15:55:00
uk.org.publicwhip/debate/2021-03-17b.387.1,2021-03-17,241,,369,55,387,15:55:00
uk.org.publicwhip/debate/2021-03-17b.436.0,2021-03-17,242,,65,361,436,18:51:00
uk.org.publicwhip/debate/2021-03-22a.708.0,2021-03-22,245,,322,253,708,21:02:00
uk.org.publicwhip/debate/2021-03-22d.682.0,2021-03-22,243,,300,318,682,19:41:00
uk.org.publicwhip/debate/2021-03-22d.687.0,2021-03-22,244,,319,297,687,19:41:00
uk.org.publicwhip/debate/2021-03-22d.708.0,2021-03-22,245,"That this House disagrees with Lords amendments 4B, 4C, 4D and 4E.",322,253,708,21:02:00
uk.org.publicwhip/debate/2021-03-25a.1166.2,2021-03-25,246,That the temporary provisions of the Coronavirus Act 2020 should not yet expire.—(Matt Hancock.),484,76,1166,17:00:00
uk.org.publicwhip/debate/2021-04-13e.266.0,2021-04-13,247,,268,358,266,20:17:00
uk.org.publicwhip/debate/2021-04-13e.270.0,2021-04-13,248,,358,262,270,20:17:00
uk.org.publicwhip/debate/2021-04-14a.322.0,2021-04-14,249,,222,0,322,12:35:00
uk.org.publicwhip/debate/2021-04-14a.378.0,2021-04-14,250,,262,357,378,15:50:00
uk.org.publicwhip/debate/2021-04-14a.427.1,2021-04-14,251,,256,357,427,18:50:00
uk.org.publicwhip/debate/2021-04-15a.578.2,2021-04-15,254,,361,218,578,15:45:00
uk.org.publicwhip/debate/2021-04-15a.591.2,2021-04-15,257,,350,270,591,15:45:00
uk.org.publicwhip/debate/2021-04-15b.569.1,2021-04-15,252,,360,221,569,15:45:00
uk.org.publicwhip/debate/2021-04-15b.573.2,2021-04-15,253,,352,222,573,15:45:00
uk.org.publicwhip/debate/2021-04-15b.578.2,2021-04-15,254,,361,218,578,15:45:00
uk.org.publicwhip/debate/2021-04-15b.582.2,2021-04-15,255,,362,217,582,15:45:00
uk.org.publicwhip/debate/2021-04-15b.587.0,2021-04-15,256,,362,217,587,15:45:00
uk.org.publicwhip/debate/2021-04-15b.591.2,2021-04-15,257,,350,270,591,15:45:00
uk.org.publicwhip/debate/2021-04-15b.596.2,2021-04-15,258,,352,270,596,15:45:00
uk.org.publicwhip/debate/2021-04-15b.600.2,2021-04-15,259,,351,226,600,15:45:00
uk.org.publicwhip/debate/2021-04-15b.605.2,2021-04-15,260,,352,226,605,15:45:00
uk.org.publicwhip/debate/2021-04-15d.569.1,2021-04-15,252,,360,221,569,15:45:00
uk.org.publicwhip/debate/2021-04-15d.573.2,2021-04-15,253,"
Clause 55 - Support provided by local authorities to victims of domestic abuse
",352,222,573,15:45:00
uk.org.publicwhip/debate/2021-04-15d.578.2,2021-04-15,254,"
After Clause 64 - Training
",361,218,578,15:45:00
uk.org.publicwhip/debate/2021-04-15d.582.2,2021-04-15,255,"
Before Clause 69 - Reasonable force in domestic abuse cases
",362,217,582,15:45:00
uk.org.publicwhip/debate/2021-04-15d.587.0,2021-04-15,256,"
Defence for victims of domestic abuse who commit an offence
",362,217,587,15:45:00
uk.org.publicwhip/debate/2021-04-15d.591.2,2021-04-15,257,"
After Clause 72 - Victims of domestic abuse: data-sharing for immigration purposes
",350,270,591,15:45:00
uk.org.publicwhip/debate/2021-04-15d.596.2,2021-04-15,258,"
Victims of domestic abuse: leave to remain and the destitution domestic violence concession (DDVC)
",352,270,596,15:45:00
uk.org.publicwhip/debate/2021-04-15d.600.2,2021-04-15,259,"
Monitoring of serial and serious harm domestic abuse and stalking perpetrators under Multi-Agency Public Protection Arrangements
",351,226,600,15:45:00
uk.org.publicwhip/debate/2021-04-15d.605.2,2021-04-15,260,"
Effective protection and support for all victims of domestic abuse
",352,226,605,15:45:00
uk.org.publicwhip/debate/2021-04-19a.721.2,2021-04-19,261,,356,224,721,19:15:00
uk.org.publicwhip/debate/2021-04-19d.721.2,2021-04-19,261,"
Clause 5 - Basic rate limit and personal allowance for future tax years
",356,224,721,19:15:00
uk.org.publicwhip/debate/2021-04-19d.726.0,2021-04-19,262,This new clause would require a report comparing the effect of (a) the coronavirus job retention scheme and the self-employment income support scheme being continued until ,261,367,726,19:15:00
uk.org.publicwhip/debate/2021-04-19d.731.0,2021-04-19,263,"This new clause requires the Chancellor of the Exchequer to carry out and publish a review of the effects of clauses 1 to 5, 24 to 26, 28, 31 to 33, 40 and 86 of the Bill on equality in relation to households with different levels of income, people with protected characteristics, the Treasury’s public sector equality duty and on a regional basis.",269,358,731,19:15:00
uk.org.publicwhip/debate/2021-04-19d.765.2,2021-04-19,264,"(i) adhere to International Labour Organisation convention 98 on the right to organise and collective bargaining,",260,365,765,21:15:00
uk.org.publicwhip/debate/2021-04-19d.770.0,2021-04-19,265,This new clause would require the Government to review the impact of the provisions relating to super-deductions and publish regular reports setting out their findings.,260,365,770,21:15:00
uk.org.publicwhip/debate/2021-04-19d.801.2,2021-04-19,266,This new clause would require the Government to review the impact of the provisions of the Act introducing freeports and publish regular reports setting out the findings.,260,366,801,23:00:00
uk.org.publicwhip/debate/2021-04-20c.918.2,2021-04-20,267,This new clause would require the Government to review the impact of the provisions relating to tax avoidance and publish regular reports setting out their findings.,261,366,918,16:15:00
uk.org.publicwhip/debate/2021-04-20c.934.2,2021-04-20,268,,214,364,934,17:00:00
uk.org.publicwhip/debate/2021-04-21a.1059.0,2021-04-21,269,,365,258,1059,16:15:00
uk.org.publicwhip/debate/2021-04-21b.1059.0,2021-04-21,269,"
After Clause 7 - Investigation of allegations related to overseas operations
",365,258,1059,16:15:00
