person_id,mp_name,party,avg_left_pct,avg_right_pct,avg_ideology_score,std_ideology_score,speech_count
uk.org.publicwhip/person/25871,Darren George Henry,Conservative,0.971428632736206,0.028571391478180885,0.9428572412580252,0.0,1
uk.org.publicwhip/person/24868,Emma Reynolds,Labour,0.9423116445541382,0.05768834426999092,0.8846233002841473,0.0,2
uk.org.publicwhip/person/26603,Roz Savage,Liberal Democrat,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26561,Bradley Thomas,Conservative,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26552,Sean Woodcock,Labour,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26522,Jonathan Hinder,Labour,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26564,John Slinger,Labour,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26579,Patrick Spencer,Conservative,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26514,Adrian Ramsay,Green,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26506,Connor Naismith,Labour,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26612,Peter Lamb,Labour,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26609,Olivia Bailey,Labour,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26375,Johanna Baxter,Labour,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26372,Jessica Brown-Fuller,Liberal Democrat,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26546,Rachel Blake,Labour/Co-operative,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26547,Jim Dickson,Labour,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26376,Andrew Lewin,Labour,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26459,Adam Dance,Liberal Democrat,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26361,Rupert Lowe,Reform UK,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26341,Jennifer Craft,Labour,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26464,Lee Pitcher,Labour,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26396,Chris Curtis,Labour,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26414,Samantha Niblett,Labour,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26421,Pippa Heylings,Liberal Democrat,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26397,David Williams,Labour,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26476,Alan Gemmell,Labour,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26440,Mark Sewards,Labour,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26441,Fred Thomas,Labour,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26465,Jade Botterill,Labour,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26469,Steve Yemm,Labour,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26339,Jonathan Brash,Labour,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26343,Natalie Fleet,Labour,0.9423115253448486,0.05768844112753868,0.88462308421731,0.0,2
uk.org.publicwhip/person/26123,Ashley Dalton,Labour,0.8875687254799737,0.11243128310889006,0.7751374423710836,0.2615532882105026,9
uk.org.publicwhip/person/25676,Bambos Charalambous,Independent,0.740344762802124,0.2596552073955536,0.48068955540657043,0.0,1
uk.org.publicwhip/person/26288,Gen Kitchen,Labour,0.7403444647789001,0.2596554756164551,0.48068898916244507,0.0,1
uk.org.publicwhip/person/10086,Alan Campbell,Labour,0.7332598854388509,0.2667401150933334,0.46651977034551756,0.6601647300378373,7
uk.org.publicwhip/person/10383,John Martin McDonnell,Independent,0.7182394862174988,0.28176048025488853,0.43647900596261024,0.31983084473792794,4
uk.org.publicwhip/person/10031,Margaret Beckett,Labour,0.7152580797672272,0.2847419328987598,0.43051614686846734,0.7876042695704645,5
uk.org.publicwhip/person/26431,Darren Paffey,Labour,0.7035367687543234,0.2964632088939349,0.40707355986038846,0.8271400393165392,3
uk.org.publicwhip/person/26521,Jeevun Sandher,Labour,0.7035367687543234,0.2964632088939349,0.40707355986038846,0.8271400393165392,3
uk.org.publicwhip/person/26468,Joe Morris,Labour,0.7035367687543234,0.2964632088939349,0.40707355986038846,0.8271400393165392,3
uk.org.publicwhip/person/26488,Luke Murphy,Labour,0.7035367687543234,0.2964632088939349,0.40707355986038846,0.8271400393165392,3
uk.org.publicwhip/person/26411,Luke Myer,Labour,0.7035367687543234,0.2964632088939349,0.40707355986038846,0.8271400393165392,3
uk.org.publicwhip/person/26360,Polly Billington,Labour,0.7035367687543234,0.2964632088939349,0.40707355986038846,0.8271400393165392,3
uk.org.publicwhip/person/26271,Keir Mather,Labour,0.7008523344993591,0.29914768040180206,0.40170465409755707,0.11170151865390714,2
uk.org.publicwhip/person/26118,Samantha Dixon,Labour,0.6893953963881359,0.31060461544742185,0.378790780940714,0.6941310216525616,12
uk.org.publicwhip/person/26637,Angus MacDonald,Liberal Democrat,0.6874853024880091,0.3125147148966789,0.37497058759133023,0.8827447023140821,3
uk.org.publicwhip/person/26369,Peter Swallow,Labour,0.6874852130810419,0.3125147794683774,0.3749704336126645,0.882744285059395,3
uk.org.publicwhip/person/26512,Rebecca Smith,Conservative,0.6874852130810419,0.3125147794683774,0.3749704336126645,0.882744285059395,3
uk.org.publicwhip/person/26503,Graeme Downie,Labour,0.6874852130810419,0.3125147794683774,0.3749704336126645,0.882744285059395,3
uk.org.publicwhip/person/26530,Ben Goldsborough,Labour,0.6874852130810419,0.3125147794683774,0.3749704336126645,0.882744285059395,3
uk.org.publicwhip/person/26538,Harriet Cross,Conservative,0.6874852130810419,0.3125147794683774,0.3749704336126645,0.882744285059395,3
uk.org.publicwhip/person/26319,Paul Waugh,Labour/Co-operative,0.6874852130810419,0.3125147794683774,0.3749704336126645,0.882744285059395,3
uk.org.publicwhip/person/26501,Kirsteen Sullivan,Labour/Co-operative,0.6874852130810419,0.3125147794683774,0.3749704336126645,0.882744285059395,3
uk.org.publicwhip/person/26443,Luke Taylor,Liberal Democrat,0.6874852130810419,0.3125147794683774,0.3749704336126645,0.882744285059395,3
uk.org.publicwhip/person/26458,Claire Young,Liberal Democrat,0.6874852130810419,0.3125147794683774,0.3749704336126645,0.882744285059395,3
uk.org.publicwhip/person/26518,David Chadwick,Liberal Democrat,0.6874852130810419,0.3125147794683774,0.3749704336126645,0.882744285059395,3
uk.org.publicwhip/person/26516,Monica Harding,Liberal Democrat,0.6874852130810419,0.3125147794683774,0.3749704336126645,0.882744285059395,3
uk.org.publicwhip/person/25829,Jamie Hamilton Wallis,Conservative,0.6641470044851303,0.33585299272090197,0.32829401176422834,0.8691236540859364,2
uk.org.publicwhip/person/26310,Mark Ferguson,Labour,0.6596429422497749,0.3403570428490639,0.31928589940071106,0.9791927275103057,3
uk.org.publicwhip/person/26589,Tristan Osborne,Labour,0.6596429422497749,0.3403570428490639,0.31928589940071106,0.9791927275103057,3
uk.org.publicwhip/person/26549,Tim Roca,Labour,0.6596429422497749,0.3403570428490639,0.31928589940071106,0.9791927275103057,3
uk.org.publicwhip/person/26382,Jacob Collier,Labour,0.6596429422497749,0.3403570428490639,0.31928589940071106,0.9791927275103057,3
uk.org.publicwhip/person/26502,Dan Tomlinson,Labour,0.6596429422497749,0.3403570428490639,0.31928589940071106,0.9791927275103057,3
uk.org.publicwhip/person/26627,Helen Maguire,Liberal Democrat,0.6596429422497749,0.3403570428490639,0.31928589940071106,0.9791927275103057,3
uk.org.publicwhip/person/25324,Stephen Gethins,Scottish National Party,0.6596429372827212,0.34035703788201016,0.31928589940071106,0.9791931017490457,3
uk.org.publicwhip/person/24737,Pamela Nash,Labour,0.6596429372827212,0.34035703788201016,0.31928589940071106,0.9791931017490457,3
uk.org.publicwhip/person/25800,Scott Benton,Independent,0.659473311714828,0.3405266910791397,0.3189466206356883,0.7516401285151996,5
uk.org.publicwhip/person/25375,Imran Hussain,Independent,0.6535310745239258,0.3464689254760742,0.30706214904785156,1.0003651874429236,3
uk.org.publicwhip/person/26358,Jo White,Labour,0.6535310422380766,0.3464689428607623,0.30706209937731427,1.0003649702123907,3
uk.org.publicwhip/person/26478,Rachel Taylor,Labour,0.6535310422380766,0.3464689428607623,0.30706209937731427,1.0003649702123907,3
uk.org.publicwhip/person/26471,Lloyd Hatton,Labour,0.6535310422380766,0.3464689428607623,0.30706209937731427,1.0003649702123907,3
uk.org.publicwhip/person/26531,Gideon Amos,Liberal Democrat,0.6535310422380766,0.3464689428607623,0.30706209937731427,1.0003649702123907,3
uk.org.publicwhip/person/26557,Jonathan Davies,Labour,0.6535310422380766,0.3464689428607623,0.30706209937731427,1.0003649702123907,3
uk.org.publicwhip/person/26120,Andrew Western,Labour,0.6534117634097735,0.34658821982642013,0.30682354358335334,0.8407629794124063,6
uk.org.publicwhip/person/26276,Michael Shanks,Labour,0.6449400037527084,0.35506001114845276,0.2898799926042557,0.728942949834225,5
uk.org.publicwhip/person/25816,Ian Byrne,Independent,0.6311611533164978,0.3688388168811798,0.262322336435318,0.0,1
uk.org.publicwhip/person/25844,Duncan Charles Baker,Conservative,0.6311610341072083,0.36883896589279175,0.2623220682144165,0.0,1
uk.org.publicwhip/person/26556,Lisa Smart,Liberal Democrat,0.5841493904590607,0.415850592777133,0.16829879768192768,0.8271400393165392,4
uk.org.publicwhip/person/26491,Steffan Aquarone,Liberal Democrat,0.5841493904590607,0.415850592777133,0.16829879768192768,0.8271400393165392,4
uk.org.publicwhip/person/10218,George Galloway,Workers Party,0.583647845685482,0.4163521535694599,0.1672956921160221,1.0497313309992986,5
uk.org.publicwhip/person/26335,Nick Timothy,Conservative,0.5721107237040997,0.4278892707079649,0.14422145299613476,0.8558457902910734,4
uk.org.publicwhip/person/26566,Tom Hayes,Labour,0.5721107237040997,0.4278892707079649,0.14422145299613476,0.8558457902910734,4
